contentid,title,addr1,addr2,mapx,mapy,firstimage
2892102,보헤미안박이추커피 본점,강원특별자치도 강릉시 홍질목길 55-11,보헤미안 영진,128.8424431201,37.8646712145,
3536882,보헤미안커피 본점,강원특별자치도 강릉시 연곡면 홍질목길 55-11,,128.8424431201,37.8646712145,
3534136,복돼지구들장삼겹살,강원특별자치도 강릉시 용지각길 8 (포남동),,128.9048018334,37.7605844798,
3534175,복돼지돌판삼겹살,강원특별자치도 강릉시 남구길 29 (포남동),,128.9048072414,37.7653422631,
2870140,본가동해막국수,강원특별자치도 강릉시 성안길 47-3,,128.8317275864,37.8593077382,http://tong.visitkorea.or.kr/cms/resource/28/2870128_image2_1.jpg
3547909,본래순대 교동택지점,강원특별자치도 강릉시 가작로 20 (교동),,128.8779067688,37.7691635184,
3533674,본터웰빙산채오리,강원특별자치도 강릉시 범일로 457 (내곡동),,128.8784690660,37.7291348263,
2499926,봉봉방앗간,강원특별자치도 강릉시 경강로2024번길 17-1,,128.8924032449,37.7510436743,
3533415,봉봉키친,강원특별자치도 강릉시 회산로385번길 1 (회산동),1층,128.8690972864,37.7421414730,
3536554,부산횟집,강원특별자치도 강릉시 창해로 419 (강문동),,128.9143442240,37.7991218740,
2892127,비비플로,강원특별자치도 강릉시 경강로 2306-1,1층,128.9137369251,37.7675199633,http://tong.visitkorea.or.kr/cms/resource/23/2892123_image2_1.jpg
3535298,빙고주막,강원특별자치도 강릉시 임영로 45-1 (노암동),,128.8966891072,37.7466081605,
3547941,빛고을식당,강원특별자치도 강릉시 창해로 473 (강문동),104호,128.9101194924,37.8027519269,
3536826,빵을쇼핑하다 치아바타,강원특별자치도 강릉시 연곡면 영진길 85,,128.8449288685,37.8691013056,
3544102,빽다방 강릉내곡점,강원특별자치도 강릉시 범일로 631 (내곡동),,128.8818905346,37.7435610020,
3536759,빽다방 포남점,강원특별자치도 강릉시 하평길 40 (포남동),1층,128.9130702359,37.7702057502,
3536347,사랑채막국수,강원특별자치도 강릉시 강릉대로587번길 37-7 (초당동),,128.9163361067,37.7863844978,
2687788,사임당한식뷔페,강원특별자치도 강릉시 사임당로 535,,128.8501337333,37.7865831840,http://tong.visitkorea.or.kr/cms/resource/30/2685030_image2_1.jpg
3536081,사천 010,강원특별자치도 강릉시 사천면 해안로 1121-131,1층,128.8566841668,37.8432378641,
3536138,사천소머리국밥,강원특별자치도 강릉시 사천면 방동길 43,,128.8558517081,37.8174186154,
3530952,사천항주문진물회,강원특별자치도 강릉시 사천면 진리항구길 49,,128.8754270978,37.8375222248,
3535729,산두꺼비,강원특별자치도 강릉시 남구길18번길 36 (포남동),,128.9087457229,37.7670282560,
3539787,산야뜰솔향고향떡집,강원특별자치도 강릉시 시영길 21-6 (노암동),,128.9022524223,37.7489663289,
